year,"총인구
#통계청","일반정부
총지출","일반정부
총수입","사회보장기금
총지출

","사회보장기금
총수입

","일반정부
총수지","사회보장기금
총수지","관리대상
수지(TB)","1인당
일반정부
총지출(RGGE)
(불변)","관리대상수지(RTB)
(불변)","국내총생산
(명목, 
원화표시)","국내총생산
(실질, 원화표시)","GDP 
디플레이터","1인당
실질
국민총소득(RGNI)

","gdp대비 국가채무비율(NDR)
#기획재정부"
단위,천명,십억원 ,십억원 ,십억원 ,십억원 ,십억원 ,십억원,십억원,만원,십억원,십억원 ,십억원,(2010=100),만원,%
1970,32241,557.8,562.1,2.7,8.6,4.3,5.9,-1.6,41.88078481,-38.731542,2794.8,67654.32,4.131,247,
1971,32883,714,680.7,3.6,10.4,-33.3,6.8,-40.1,47.25429232,-872.687704,3433.3,74718.17,4.595,264,
1972,33505,847.6,740.2,6,12.9,-107.4,6.9,-114.3,47.55209917,-2148.496241,4259.8,80071.43,5.32,276,
1973,34103,1025.4,898.3,6.3,14.1,-127.1,7.8,-134.9,50.13796227,-2249.458062,5513.5,91937.64,5.997,310,
1974,34692,1512.9,1370.4,9,17.2,-142.5,8.2,-150.7,55.69537381,-1924.648787,7879.9,100637.29,7.83,323,
1975,35281,2413.1,1977.7,22.7,27.3,-435.4,4.6,-440,70.67223331,-4546.393883,10505.1,108546.19,9.678,331,
1976,35849,3099.6,2929.7,31.8,41.3,-169.9,9.5,-179.4,73.65419783,-1528.239203,14413.2,122780.48,11.739,383,
1977,36412,4084.4,3714.2,55.4,73.1,-370.2,17.7,-387.9,83.49844536,-2887.449754,18520.3,137861.4,13.434,429,
1978,36969,5136.7,5050.8,87,128.6,-85.9,41.6,-127.5,84.7956451,-778.1032589,25023.1,152710.24,16.386,473,
1979,37534,6846.1,6773.9,150.1,194.9,-72.2,44.8,-117,93.91272429,-602.4096386,32218.9,165888.68,19.422,503,
1980,38124,9081.5,8634.3,299.8,336.7,-447.2,36.9,-484.1,98.40928977,-1999.917376,39471.3,163064.12,24.206,467,
1981,38723,12638.6,11033.8,400.1,492.6,-1604.8,92.5,-1697.3,115.6490808,-6014.102473,49324,174771.45,28.222,484,
1982,39326,13559.8,13453.4,724,936.6,-106.4,212.6,-319,114.7475669,-1061.599388,56858.6,189219.61,30.049,523,
1983,39910,15453.3,16104.7,903.6,1173.1,651.4,269.5,381.9,122.898403,1212.150067,67509.2,214274.11,31.506,587,
1984,40406,16477.2,17595.5,1069.3,1287.9,1118.3,218.6,899.7,123.9523761,2734.733579,77855.6,236650.35,32.899,640,
1985,40806,18782.6,19410.3,1265.3,1437.6,627.7,172.3,455.4,134.5366245,1331.072984,87239.6,254989.62,34.213,677,
1986,41214,20831.6,22149.4,1389.7,1707,1317.8,317.3,1000.5,140.762394,2786.287178,101840.2,283614.24,35.908,763,
1987,41622,23344.2,25844,1620.5,1946.7,2499.8,326.2,2173.6,148.8289888,5767.812127,120204.9,318972.8,37.685,866,
1988,42031,28259.5,32197.9,2191.5,3061.2,3938.4,869.7,3068.7,166.5755718,7602.754998,144073.4,356944.23,40.363,972,
1989,42449,34007.9,37757.6,2820.2,4194.6,3749.7,1374.4,2375.3,187.1751925,5549.507032,163518,382033.55,42.802,1047,
1990,42869,42316.1,47066.9,4061.5,5508.4,4750.8,1446.9,3303.9,209.4514022,7010.482091,197712.3,419521.94,47.128,1134,
1991,43296,53210.2,56159.1,4784.2,7196.2,2948.9,2412,536.9,238.1849125,1040.544207,238877.2,462958.25,51.598,1240,
1992,43748,63234.8,65996.1,6067.9,8762,2761.3,2694.1,67.2,259.9980095,120.8763536,273267.4,491541.17,55.594,1303,
1993,44195,70770.4,75818.5,7024.6,11344.4,5048.1,4319.8,728.3,271.2311212,1233.591355,310073.7,525201.48,59.039,1382,
1994,44642,79022.6,88324.3,8401.5,13035.1,9301.7,4633.6,4668.1,277.3514606,7314.134403,366054.2,573545.9,63.823,1495,
1995,45093,94235.3,107414.3,10568.1,14390.3,13179,3822.2,9356.8,306.1886626,13709.19533,428927.1,628446.2,68.252,1610,
1996,45525,108234.3,123602.2,12535.2,18286.3,15367.9,5751.1,9616.8,334.1160423,13514.90366,481140.8,676167.91,71.157,1695,
1997,45954,123372.7,137760.4,14438.3,20270.2,14387.7,5831.9,8555.8,362.5572145,11554.24111,530347.1,716211.02,74.049,1745,11.4
1998,46287,138282.5,141679,19921.5,24408.4,3396.5,4486.9,-1090.4,385.6433483,-1407.548923,524476.8,677023.8,77.468,1591,15.3
1999,46617,148116.2,157587.3,25660.5,28449.9,9471.1,2789.4,6681.7,415.0620675,8728.543436,576872.8,753589.55,76.55,1745,17.1
2000,47008,156968.6,184654,21804.2,31823.7,27685.4,10019.5,17665.9,431.5201305,22829.46939,635184.6,820842.83,77.382,1838,17.5
2001,47370,181738.5,202143.1,25550.2,38728,20404.6,13177.8,7226.8,478.3340333,9010.186143,688164.9,857986.09,80.207,1892,17.7
2002,47645,198646.9,225425.7,27334.5,44893,26778.8,17558.5,9220.3,504.3869085,11154.35332,761938.9,921763.47,82.661,2039,17.6
2003,47892,264116.5,248191.6,30176.5,51361.1,-15924.9,21184.6,-37109.5,645.2514933,-43419.17443,810915.3,948794.05,85.468,2078,20.4
2004,48083,259550.5,261577.3,35583.7,57765.7,2026.8,22182,-20155.2,613.2800219,-22898.95249,876033.1,995288.58,88.018,2152,23.3
2005,48185,271192,285464.2,38611.9,64956.8,14272.2,26344.9,-12072.7,632.9016866,-13576.11947,919797.3,1034340.13,88.926,2188,27
2006,48438,290891.9,313436.3,44164.8,72702.4,22544.4,28537.6,-5993.2,676.2739805,-6748.947096,966054.6,1087874.82,88.802,2260,29.3
2007,48684,309583.5,353777.2,50141.2,82277.4,44193.7,32136.2,12057.5,699.3258549,13260.05433,1043257.8,1147307.08,90.931,2371,28.7
2008,49055,353493.9,379317.8,55753.4,84344.8,25823.9,28591.4,-2767.5,769.7233228,-2956.1307,1104492.2,1179773.55,93.619,2355,28
2009,49308,401766.7,386601.2,63503.7,89342.1,-15165.5,25838.4,-41003.9,840.5739677,-42300.40749,1151707.8,1188123.79,96.935,2401,31.2
2010,49554,392264.1,404581.2,69812.4,98906.2,12317.1,29093.8,-16776.7,791.5891754,-16776.7,1265308,1265308,100,2556,31
