date,US retail sales(Billion $),US_retail,"Index of industrial product
(Seasonally Adjusted)",US_product,KR_export,"Export KR to US
(million $)",KR_export_to_US,"KR_CCI
",Won/Dollar
07-Jan,363.52,1.723751959,109,1.5,20.8,"3,636",11.5,4.439252336,-2.431059507
07-Feb,364.09,2.637179867,110.1,2.4,10.3,"3,704",17.7,4.667444574,-3.007363922
07-Mar,367.414,3.256647912,110.3,2.4,13.2,"4,060",5.1,4.651162791,-3.169865692
07-Apr,366.28,2.427006636,111.1,2.8,17,"3,845",8.7,4.988399072,-1.309372349
07-May,370.867,4.023011074,111.2,3,11.1,"3,993",13.6,4.849884527,-1.897964578
07-Jun,368.08,2.886340893,111.2,2.6,14.5,"3,846",1.6,4.953917051,-2.619235837
07-Jul,369.5,2.899854353,111.1,2.5,17.2,"3,795",5.6,5.902777778,-3.753337172
07-Aug,371.019,2.913895161,111.3,2.4,13.6,"3,516",-1,6.004618938,-2.392593363
07-Sep,372.936,3.968196442,111.7,2.9,-1.1,"3,213",-16.1,5.747126437,-3.28665786
07-Oct,375.217,4.692827527,111.2,2.5,22.9,"4,224",27.8,4.756511891,-4.420270629
07-Nov,378.481,5.365415024,111.8,3.1,17,"4,081",1.3,4.49943757,-0.882337117
07-Dec,375.256,3.015894803,111.8,2.1,14.8,"3,854",2.3,4.586129754,0.683016027
08-Jan,375.28,3.235035211,111.5,2.3,14.9,"3,656",0.6,5.14541387,0.292195718
08-Feb,371.734,2.099480898,111.1,0.9,18.9,"3,359",-9.3,5.016722408,-0.286700292
08-Mar,372.656,1.426728432,110.8,0.5,18.4,"4,087",0.7,4.777777778,5.261199979
08-Apr,373.086,1.858141313,110,-1,26.4,"4,235",10.2,4.198895028,7.713380244
08-May,375.851,1.343877994,109.4,-1.6,26.9,"3,870",-3.1,3.964757709,11.02069412
08-Jun,376.378,2.254401217,109.3,-1.7,16.4,"4,215",9.6,3.293084523,13.22112783
08-Jul,374.837,1.444384303,108.7,-2.2,35.6,"4,147",9.3,2.841530055,10.0891983
08-Aug,372.112,0.294594077,107.1,-3.8,18.1,"3,549",1,2.614379085,16.05030374
08-Sep,366.377,-1.758746809,102.5,-8.2,27.6,"3,834",19.3,2.717391304,31.88548325
08-Oct,352.768,-5.982937873,103.4,-7,7.8,"4,435",5,2.162162162,43.34332667
08-Nov,339.776,-10.22640502,102.2,-8.6,-19.5,"3,498",-14.3,1.291711518,59.47456983
08-Dec,332.307,-11.44525337,99.2,-11.3,-17.9,"3,491",-9.4,-0.320855615,34.56011965
09-Jan,336.918,-10.22223407,96.8,-13.2,-34.5,"2,628",-28.1,-1.382978723,46.1595508
09-Feb,335.698,-9.694028526,96.2,-13.4,-18.5,"2,744",-18.3,-1.486199575,63.30333848
09-Mar,329.947,-11.46070371,94.7,-14.5,-22.5,"2,936",-28.2,-1.272534464,39.67284293
09-Apr,331.313,-11.19661419,93.8,-14.7,-19.9,"3,270",-22.8,-0.742311771,27.96090361
